,image,uniques,counts
1255,S1B_IW_GRDH_1SDH_20211201T030735_20211201T030800_029826_038F6B_3CEC_247.gpkg,"4, 11","823564, 176436"
1256,S1B_IW_GRDH_1SDV_20210430T021033_20210430T021058_026690_033016_7221_66.gpkg,"20, 21, 13","301255, 557641, 141104"
1257,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_332.gpkg,"33, 31, 3","963987, 12063, 23950"
1258,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_250.gpkg,"14, 10","126355, 873645"
1259,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_273.gpkg,"31, 12","975840, 24160"
1260,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_36.gpkg,"0, 6, 29","479718, 31116, 489166"
1261,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_454.gpkg,"3, 6, 29","956610, 42229, 1161"
1262,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_29.gpkg,"14, 10","201210, 798790"
1263,S1B_IW_GRDH_1SDV_20211204T015353_20211204T015418_029869_0390C6_1180_85.gpkg,"0, 1","709409, 290591"
1264,S1B_IW_GRDH_1SDH_20211201T030735_20211201T030800_029826_038F6B_3CEC_173.gpkg,"37, 23","368100, 631900"
1265,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_248.gpkg,"22, 5","518315, 481685"
1266,S1B_IW_GRDH_1SDV_20210430T021033_20210430T021058_026690_033016_7221_86.gpkg,"20, 17","762267, 237733"
1267,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_504.gpkg,"10, 5, 1","154241, 523286, 322473"
1268,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_544.gpkg,"6, 0","86240, 913760"
1269,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_28.gpkg,"10, 1, 5","378028, 519133, 102839"
1270,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_309.gpkg,"29, 0, 6","425894, 260524, 313582"
1271,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_287.gpkg,"31, 12, 33","888184, 103184, 8632"
1272,S1B_IW_GRDH_1SDV_20211104T010336_20211104T010401_029431_03832E_212E_148.gpkg,"1, 18","723837, 276163"
1273,S1B_IW_GRDH_1SDV_20210430T021033_20210430T021058_026690_033016_7221_63.gpkg,"8, 9","637091, 362909"
1274,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_405.gpkg,"0, 6, 29, 3","331039, 644703, 22530, 1728"
1275,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_11.gpkg,"1, 5","3537, 996463"
1276,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_206.gpkg,"5, 6","380098, 619902"
1277,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_195.gpkg,"31, 12, 32","81931, 907822, 10247"
1278,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_88.gpkg,"5, 7","984820, 15180"
1279,S1B_IW_GRDH_1SDV_20211204T015353_20211204T015418_029869_0390C6_1180_68.gpkg,"1, 0","651645, 348355"
1280,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_87.gpkg,"6, 11","846914, 153086"
1281,S1B_IW_GRDH_1SDV_20211104T010336_20211104T010401_029431_03832E_212E_139.gpkg,"18, 19","919053, 80947"
1282,S1B_IW_GRDH_1SDV_20211104T010336_20211104T010401_029431_03832E_212E_13.gpkg,"15, 18","725039, 274961"
1283,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_436.gpkg,"33, 3","996386, 3614"
1284,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_284.gpkg,"22, 5","996464, 3536"
1285,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_445.gpkg,"14, 10","766028, 233972"
1286,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_424.gpkg,"1, 10","3586, 996414"
1287,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_76.gpkg,"0, 29","973618, 26382"
1288,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_480.gpkg,"0, 6, 30, 29","479114, 219451, 260003, 41432"
1289,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_447.gpkg,"0, 29, 6","994611, 3304, 2085"
1290,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_338.gpkg,"33, 12, 31","675852, 288186, 35962"
1291,S1B_IW_GRDH_1SDV_20210430T021033_20210430T021058_026690_033016_7221_22.gpkg,"8, 9","588784, 411216"
1292,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_157.gpkg,"5, 1","919300, 80700"
1293,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_510.gpkg,29,1000000
1294,S1B_IW_GRDH_1SDV_20210430T021033_20210430T021058_026690_033016_7221_138.gpkg,20,1000000
1295,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_97.gpkg,"5, 14","779670, 220330"
1296,S1B_IW_GRDH_1SDV_20211104T010336_20211104T010401_029431_03832E_212E_156.gpkg,"15, 16, 18","957448, 40607, 1945"
1297,S1B_IW_GRDH_1SDH_20211201T030735_20211201T030800_029826_038F6B_3CEC_237.gpkg,"4, 11","825841, 174159"
1298,S1B_IW_GRDH_1SDH_20211201T030735_20211201T030800_029826_038F6B_3CEC_163.gpkg,"11, 36, 18, 4","790867, 2647, 132823, 73663"
1299,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_45.gpkg,"1, 10","16308, 983692"
1300,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_241.gpkg,"12, 32, 9, 29","549659, 83297, 259604, 107440"
1301,S1B_IW_GRDH_1SDV_20211204T015353_20211204T015418_029869_0390C6_1180_30.gpkg,"2, 3, 0","982003, 9624, 8373"
1302,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_517.gpkg,"11, 6","912086, 87914"
1303,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_288.gpkg,"31, 12, 33","394344, 597024, 8632"
1304,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_23.gpkg,"31, 12","869831, 130169"
1305,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_38.gpkg,"7, 14, 36","289953, 700465, 9582"
1306,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_131.gpkg,"29, 0","636066, 363934"
1307,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_371.gpkg,"1, 10","358602, 641398"
1308,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_533.gpkg,"7, 14","145796, 854204"
1309,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_507.gpkg,"30, 31","348595, 651405"
1310,S1B_IW_GRDH_1SDV_20211204T015353_20211204T015418_029869_0390C6_1180_36.gpkg,"1, 0","729677, 270323"
1311,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_417.gpkg,"6, 9, 29, 33","85154, 721198, 129400, 64248"
1312,S1B_IW_GRDH_1SDH_20211201T030735_20211201T030800_029826_038F6B_3CEC_58.gpkg,"23, 13","537351, 462649"
1313,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_205.gpkg,"31, 12, 32, 9","15501, 894941, 87541, 2017"
1314,S1B_IW_GRDH_1SDH_20211201T030735_20211201T030800_029826_038F6B_3CEC_52.gpkg,"37, 4, 23","701256, 183664, 115080"
1315,S1B_IW_GRDH_1SDH_20211201T030735_20211201T030800_029826_038F6B_3CEC_104.gpkg,"11, 4","402465, 597535"
1316,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_76.gpkg,"14, 10","402172, 597828"
1317,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_29.gpkg,"29, 30, 6, 0, 36","159672, 310245, 26241, 445791, 58051"
1318,S1B_IW_GRDH_1SDH_20211201T030735_20211201T030800_029826_038F6B_3CEC_87.gpkg,"11, 4","826956, 173044"
1319,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_351.gpkg,"34, 32, 9","282434, 717518, 48"
1320,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_212.gpkg,"1, 36, 5","84789, 21769, 893442"
1321,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_461.gpkg,"5, 14","114175, 885825"
1322,S1B_IW_GRDH_1SDH_20211201T030735_20211201T030800_029826_038F6B_3CEC_192.gpkg,"4, 11","561468, 438532"
1323,S1B_IW_GRDH_1SDV_20210430T021033_20210430T021058_026690_033016_7221_152.gpkg,"24, 20, 9, 8","118484, 679263, 172425, 29828"
1324,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_259.gpkg,"22, 5","13, 999987"
1325,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_202.gpkg,"5, 6","985139, 14861"
1326,S1B_IW_GRDH_1SDV_20210430T021033_20210430T021058_026690_033016_7221_213.gpkg,"8, 9","564004, 435996"
1327,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_128.gpkg,"29, 0","972090, 27910"
1328,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_148.gpkg,"14, 10","405309, 594691"
1329,S1B_IW_GRDH_1SDH_20211201T030735_20211201T030800_029826_038F6B_3CEC_95.gpkg,"4, 37","752976, 247024"
1330,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_137.gpkg,"10, 6","653651, 346349"
1331,S1B_IW_GRDH_1SDV_20211104T010336_20211104T010401_029431_03832E_212E_23.gpkg,"15, 16","801956, 198044"
1332,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_306.gpkg,"12, 9","499165, 500835"
1333,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_223.gpkg,"3, 31","175575, 824425"
1334,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_552.gpkg,"31, 12","999089, 911"
1335,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_321.gpkg,"12, 9, 33","569615, 384210, 46175"
1336,S1B_IW_GRDH_1SDV_20211104T010336_20211104T010401_029431_03832E_212E_4.gpkg,16,1000000
1337,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_201.gpkg,"10, 11","928751, 71249"
1338,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_86.gpkg,"12, 32, 9","808935, 162044, 29021"
1339,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_175.gpkg,"29, 31","992726, 7274"
1340,S1B_IW_GRDH_1SDV_20211104T010336_20211104T010401_029431_03832E_212E_73.gpkg,"15, 18","618276, 381724"
1341,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_275.gpkg,"12, 9, 31","807412, 168676, 23912"
1342,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_219.gpkg,"0, 29","11502, 988498"
1343,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_191.gpkg,"32, 9","301387, 698613"
1344,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_463.gpkg,"32, 9","547083, 452917"
1345,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_183.gpkg,"12, 32, 9, 29","190870, 287554, 511524, 10052"
1346,S1B_IW_GRDH_1SDV_20210430T021033_20210430T021058_026690_033016_7221_151.gpkg,"20, 17","862673, 137327"
1347,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_527.gpkg,"31, 12","911748, 88252"
1348,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_103.gpkg,"0, 29","755162, 244838"
1349,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_348.gpkg,14,1000000
1350,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_291.gpkg,29,1000000
1351,S1B_IW_GRDH_1SDH_20211201T030735_20211201T030800_029826_038F6B_3CEC_130.gpkg,"4, 37","839892, 160108"
1352,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_312.gpkg,"3, 33","855569, 144431"
1353,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_179.gpkg,"31, 12","731350, 268650"
1354,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_327.gpkg,"0, 6, 3, 29","239515, 625301, 65374, 69810"
1355,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_432.gpkg,"5, 14","999158, 842"
1356,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_140.gpkg,"14, 10","681285, 318715"
1357,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_272.gpkg,"5, 14","748591, 251409"
1358,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_368.gpkg,"10, 11, 1","1531, 713530, 284939"
1359,S1B_IW_GRDH_1SDH_20211201T030735_20211201T030800_029826_038F6B_3CEC_111.gpkg,"4, 37","375024, 624976"
1360,S1B_IW_GRDH_1SDV_20211204T015353_20211204T015418_029869_0390C6_1180_109.gpkg,"1, 0","970160, 29840"
1361,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_81.gpkg,"10, 27","999113, 887"
1362,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_375.gpkg,"1, 10","27695, 972305"
1363,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_421.gpkg,"14, 10, 5","42969, 947360, 9671"
1364,S1B_IW_GRDH_1SDV_20211104T010336_20211104T010401_029431_03832E_212E_101.gpkg,16,1000000
1365,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_429.gpkg,"29, 0, 6, 3","339698, 200065, 454270, 5967"
1366,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_158.gpkg,"12, 32","332270, 667730"
1367,S1B_IW_GRDH_1SDV_20210430T021033_20210430T021058_026690_033016_7221_36.gpkg,"17, 20","802945, 197055"
1368,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_138.gpkg,"0, 6, 31, 29","220279, 289545, 255387, 234789"
1369,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_527.gpkg,"5, 1","458944, 541056"
1370,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_470.gpkg,"31, 34, 32, 12","97913, 131273, 63555, 707259"
1371,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_481.gpkg,"31, 12","85635, 914365"
1372,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_255.gpkg,"29, 6, 3, 36","377524, 337253, 267580, 17643"
1373,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_7.gpkg,"30, 29, 6, 0, 36","762194, 62311, 29559, 109311, 36625"
1374,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_58.gpkg,"14, 10","311745, 688255"
1375,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_64.gpkg,"0, 29, 6","911105, 79796, 9099"
1376,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_339.gpkg,"14, 10","391696, 608304"
1377,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_193.gpkg,"14, 7, 36","893167, 102916, 3917"
1378,S1B_IW_GRDH_1SDH_20211201T030735_20211201T030800_029826_038F6B_3CEC_251.gpkg,"4, 11","999897, 103"
1379,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_215.gpkg,"34, 32, 9","145866, 787420, 66714"
1380,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_341.gpkg,"5, 36, 1","889861, 57536, 52603"
1381,S1B_IW_GRDH_1SDV_20210430T021033_20210430T021058_026690_033016_7221_139.gpkg,"26, 20","688483, 311517"
1382,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_438.gpkg,"33, 9","956122, 43878"
1383,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_34.gpkg,"1, 5","140476, 859524"
1384,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_464.gpkg,22,1000000
1385,S1B_IW_GRDH_1SDV_20210430T021033_20210430T021058_026690_033016_7221_248.gpkg,"12, 17, 9","612592, 291400, 96008"
1386,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_99.gpkg,"0, 29","835388, 164612"
1387,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_435.gpkg,"30, 6, 0","209582, 157902, 632516"
1388,S1B_IW_GRDH_1SDV_20210430T021033_20210430T021058_026690_033016_7221_212.gpkg,"9, 13, 12","444962, 334905, 220133"
1389,S1B_IW_GRDH_1SDV_20211104T010336_20211104T010401_029431_03832E_212E_16.gpkg,16,1000000
1390,S1B_IW_GRDH_1SDV_20211104T010336_20211104T010401_029431_03832E_212E_50.gpkg,"16, 15","778129, 221871"
1391,S1B_IW_GRDH_1SDV_20210430T021033_20210430T021058_026690_033016_7221_130.gpkg,"13, 12, 9","550720, 314470, 134810"
1392,S1B_IW_GRDH_1SDV_20211104T010336_20211104T010401_029431_03832E_212E_74.gpkg,"15, 18","421549, 578451"
1393,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_366.gpkg,"33, 31, 3","484204, 471404, 44392"
1394,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_546.gpkg,"0, 29","788670, 211330"
1395,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_55.gpkg,"5, 6","544925, 455075"
1396,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_14.gpkg,"5, 6","999545, 455"
1397,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_314.gpkg,"5, 14, 10","645, 999143, 212"
1398,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_9.gpkg,"30, 6","691235, 308765"
1399,S1B_IW_GRDH_1SDV_20211204T015353_20211204T015418_029869_0390C6_1180_104.gpkg,"1, 0","934127, 65873"
1400,S1B_IW_GRDH_1SDV_20211104T010336_20211104T010401_029431_03832E_212E_80.gpkg,"15, 16","831156, 168844"
1401,S1B_IW_GRDH_1SDH_20211201T030735_20211201T030800_029826_038F6B_3CEC_137.gpkg,"37, 23","275100, 724900"
1402,S1B_IW_GRDH_1SDH_20211201T030735_20211201T030800_029826_038F6B_3CEC_235.gpkg,"4, 11","964420, 35580"
1403,S1B_IW_GRDH_1SDV_20211104T010336_20211104T010401_029431_03832E_212E_114.gpkg,"18, 19","992940, 7060"
1404,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_235.gpkg,"3, 31","249069, 750931"
1405,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_88.gpkg,"9, 29, 32","401452, 595173, 3375"
1406,S1B_IW_GRDH_1SDV_20211104T010336_20211104T010401_029431_03832E_212E_113.gpkg,"15, 16","615, 999385"
1407,S1B_IW_GRDH_1SDV_20210430T021033_20210430T021058_026690_033016_7221_56.gpkg,"20, 21, 13","477973, 486046, 35981"
1408,S1B_IW_GRDH_1SDV_20210430T021033_20210430T021058_026690_033016_7221_230.gpkg,"12, 17","818397, 181603"
1409,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_261.gpkg,"31, 12","435607, 564393"
1410,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_200.gpkg,"29, 31, 3","115366, 670159, 214475"
1411,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_110.gpkg,"0, 6, 31, 29","252445, 350670, 393779, 3106"
1412,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_388.gpkg,"10, 1","936035, 63965"
1413,S1B_IW_GRDH_1SDH_20211201T030735_20211201T030800_029826_038F6B_3CEC_41.gpkg,"4, 11","956414, 43586"
1414,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_87.gpkg,"12, 32, 9, 29","308935, 165419, 430473, 95173"
1415,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_168.gpkg,"9, 29, 36","224039, 773490, 2471"
1416,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_136.gpkg,"10, 6, 14","915166, 30176, 54658"
1417,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_200.gpkg,"22, 5","819757, 180243"
1418,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_292.gpkg,"5, 1","954068, 45932"
1419,S1B_IW_GRDH_1SDV_20211204T015353_20211204T015418_029869_0390C6_1180_8.gpkg,"0, 2","508546, 491454"
1420,S1B_IW_GRDH_1SDH_20211201T030735_20211201T030800_029826_038F6B_3CEC_143.gpkg,"37, 4","886408, 113592"
1421,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_127.gpkg,"22, 5","903238, 96762"
1422,S1B_IW_GRDH_1SDV_20210430T021033_20210430T021058_026690_033016_7221_84.gpkg,20,1000000
1423,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_403.gpkg,"5, 10","622114, 377886"
1424,S1B_IW_GRDH_1SDV_20211204T015353_20211204T015418_029869_0390C6_1180_23.gpkg,0,1000000
1425,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_465.gpkg,"5, 6, 7","158924, 571322, 269754"
1426,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_262.gpkg,"12, 9, 31","783525, 198723, 17752"
1427,S1B_IW_GRDH_1SDV_20210430T021033_20210430T021058_026690_033016_7221_261.gpkg,"8, 9","314906, 685094"
1428,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_105.gpkg,"0, 29","673334, 326666"
1429,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_415.gpkg,"14, 10","510288, 489712"
1430,S1B_IW_GRDH_1SDV_20210430T021033_20210430T021058_026690_033016_7221_136.gpkg,"20, 21","999489, 511"
1431,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_484.gpkg,29,1000000
1432,S1B_IW_GRDH_1SDV_20211104T010336_20211104T010401_029431_03832E_212E_46.gpkg,"36, 18","22118, 977882"
1433,S1B_IW_GRDH_1SDH_20211201T030735_20211201T030800_029826_038F6B_3CEC_129.gpkg,"4, 37","578741, 421259"
1434,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_451.gpkg,"14, 10","577213, 422787"
1435,S1B_IW_GRDH_1SDV_20211104T010336_20211104T010401_029431_03832E_212E_19.gpkg,"16, 15","920100, 79900"
1436,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_143.gpkg,"6, 10","997599, 2401"
1437,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_111.gpkg,"31, 6","886772, 113228"
1438,S1B_IW_GRDH_1SDH_20211201T030735_20211201T030800_029826_038F6B_3CEC_155.gpkg,"37, 23","400169, 599831"
1439,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_126.gpkg,"29, 0","955341, 44659"
1440,S1B_IW_GRDH_1SDH_20211201T030735_20211201T030800_029826_038F6B_3CEC_39.gpkg,"37, 4","483178, 516822"
1441,S1B_IW_GRDH_1SDH_20211201T030735_20211201T030800_029826_038F6B_3CEC_228.gpkg,"23, 37, 13","582078, 413676, 4246"
1442,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_37.gpkg,"5, 6","853787, 146213"
1443,S1B_IW_GRDH_1SDH_20211201T030735_20211201T030800_029826_038F6B_3CEC_172.gpkg,"23, 37, 13","807826, 192063, 111"
1444,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_509.gpkg,"31, 12","680873, 319127"
1445,S1B_IW_GRDH_1SDH_20211201T030735_20211201T030800_029826_038F6B_3CEC_194.gpkg,"13, 23, 37","807589, 191443, 968"
1446,S1B_IW_GRDH_1SDV_20211104T010336_20211104T010401_029431_03832E_212E_154.gpkg,"18, 19","503777, 496223"
1447,S1B_IW_GRDH_1SDV_20210430T021033_20210430T021058_026690_033016_7221_126.gpkg,"12, 17","469040, 530960"
1448,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_516.gpkg,"5, 14","351, 999649"
1449,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_354.gpkg,"5, 14","940671, 59329"
1450,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_367.gpkg,"31, 33","731002, 268998"
1451,S1B_IW_GRDH_1SDH_20211201T030735_20211201T030800_029826_038F6B_3CEC_210.gpkg,"11, 4","650764, 349236"
1452,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_434.gpkg,"33, 3","803288, 196712"
1453,S1B_IW_GRDH_1SDV_20211104T010336_20211104T010401_029431_03832E_212E_167.gpkg,"15, 16","575242, 424758"
1454,S1B_IW_GRDH_1SDV_20210430T021033_20210430T021058_026690_033016_7221_209.gpkg,"9, 20, 8","558511, 242770, 198719"
1455,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_446.gpkg,"10, 27","644216, 355784"
1456,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_187.gpkg,"10, 6","260986, 739014"
